Fault_Type,IA_Analytical,IB_Analytical,IC_Analytical,IA_OpenDSS,IB_OpenDSS,IC_OpenDSS,Error_pct
ABC,88.9068968833621,81.4830004697789,74.6142295943031,72.7999638183653,89.7271493365599,56.9669729623459,0.914163059077125
AC,53.0956083284354,0.0123521557652692,53.1016088819183,55.3451110523034,0.574067391414816,55.9180572971665,5.03674224639224
BC,0.011922963663728,53.1057357186583,53.0967024651723,0.536500569366149,56.0459873650659,55.9177370872895,5.24614122195002
AB,64.6418859350015,64.635913414259,0.0119498518187485,70.3266556670608,70.0006892930303,0.383971130021598,8.08337845463884
