Fault_Type,Imax_Analytical,Imax_OpenDSS_NoZe,Imax_OpenDSS_WithZe,Error_NoZe_pct,Error_WithZe_pct
ABC,88.9068968745826,89.7271493365599,89.6689641180377,0.91416306886183,0.849867343679804
AC,67.3367795752192,55.9180572971665,51.5711673068581,20.4204559850316,30.5705941743623
BC,67.3377955523813,56.0459873650659,55.5037492700219,20.1473980889374,21.3211655752978
AB,55.4371448223519,70.3266556670608,70.3432916621077,21.1719307615003,21.1905733831125
