Length_km,Imax_Analytical_AC,Imax_NoZe_AC,Imax_WithZe_AC,Error_NoZe_pct,Error_WithZe_pct
20,124.47177338723,96.0014185244464,84.9312306991191,29.6561814402083,46.5559516359639
40,87.5436305401861,70.610724636644,64.2425798172339,23.9806431539645,36.2704156483787
60,67.3315619529722,55.9180572971665,51.5711673068581,20.4111251489848,30.5604768500522
80,54.6493839573161,46.3692413943677,43.0105519585759,17.8569722383989,27.0604106870094
100,45.9678827762355,39.6834581213416,36.8326327650545,15.8363836026533,24.8020554746993
120,39.657915933562,34.753656531968,32.1574734810385,14.1114918284435,23.3241036704766
180,28.0767345643193,25.6016843811106,23.0908023768761,9.66752869211548,21.5927194995883
240,21.7249316306879,20.6026141499175,17.7680153735488,5.44745182627686,22.2698831239746
