tipoCurto,Raf,Rbf,Rcf,RaTrif,RbTrif,RcTrif,IA_T2F,IB_T2F,IC_T2F,IA_TRIF,IB_TRIF,IC_TRIF
1,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,123.7683,130.0482,132.6119,87.55915,90.85423,90.56132
2,1e-05,1000000,1e-05,1e-05,1000000,1e-05,107.1083637,18.69671911,118.9414922,75.80670322,1.989498389,77.43406935
3,1000000,1e-05,1e-05,1000000,1e-05,1e-05,17.29349785,118.9781353,108.4723938,1.756796292,78.92600058,77.49491185
4,1e-05,1e-05,1000000,1e-05,1e-05,1000000,113.7356355,103.2672287,17.98657046,78.87354588,77.37124976,1.761002723
5,1000000,1000000,1000000,1000000,1000000,1000000,17.91573589,18.06436481,17.9821383,1.762639534,1.989508726,1.763187901
