Spacing_m,I_ABC_A,I_AC_A,I_BC_A,I_AB_A
0.5,89.1371511408126,53.0953531643151,53.1059644696472,66.2112071182727
0.92,89.0341001395154,53.0954880272501,53.1058456470775,65.3947115790951
1.2,88.9767764838546,53.0955460372582,53.1057931143766,65.0345011461891
1.6,88.9068968833621,53.0956083284354,53.1057357186583,64.6418859350015
2,88.8474138623708,53.0956562747528,53.1056908285326,64.3356762016758
