Rho_ohm_m,I_ABC_A,I_AC_A,I_BC_A,I_AB_A
100,88.9068968745826,67.3315619529722,67.3377955523813,55.4371448223519
500,88.0686737517789,66.7061820863336,66.7127783621704,55.4371448027027
1000,87.7137480466772,66.4358714885339,66.4426214329071,55.4371447942402
5000,86.9043833691383,65.8064927633849,65.8135936681242,55.4371447745908
10000,86.5623444588017,65.5348520576379,65.5421016041756,55.4371447661283
