Rti_ohm,I_ABC_A,I_AC_A,I_BC_A,I_AB_A
5,88.9068968833621,53.8975182681968,53.907798690045,64.6418859350015
10,88.9068968833621,53.0956083284354,53.1057357186583,64.6418859350015
15,88.9068968833621,52.3096622977445,52.3196397035215,64.6418859350015
20,88.9068968833621,51.5396377362355,51.5494681966294,64.6418859350015
30,88.9068968833621,50.0469658541829,50.0565114666892,64.6418859350015
