tipoCurto,IA_Sim,IB_Sim,IC_Sim,IA_Calc,IB_Calc,IC_Calc
1,88.8966,81.4728,74.6072,88.9069,81.483,74.6142
2,67.3248,0.0114683,67.33,67.3316,0.011459,67.3368
3,0.012511,67.331,67.3238,0.012503,67.3378,67.3306
4,64.6358,64.6299,0.0119585,64.6419,64.6359,0.0119499
5,0.0079755,0.0079755,0.0079756,0.0079669,0.0079669,0.0079669
