Rf_ohm,I_ABC_A,I_AC_A,I_BC_A,I_AB_A
0.001,88.0262169285064,59.94846253736,59.9598977115009,76.6849151009914
10,88.5107766892228,58.1439834338707,58.1550742388655,70.2586100751531
20,88.7835549805627,56.398640459358,56.4093981852444,64.6418859350015
40,88.9068968833621,53.0956083284354,53.1057357186583,55.4371448223519
80,88.3243572752458,47.2465466971959,47.2555579095186,42.7206355832384
100,87.8755343074716,44.680611510787,44.6891330758622,38.2246758231217
