n,tipoCurto,Raf,Rbf,Rcf,RaTrif,RbTrif,RcTrif,IA_T2F,IB_T2F,IC_T2F,IA_TRIF,IB_TRIF,IC_TRIF
0.5,1,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,145.5105,129.6372,119.8385,201.5551,207.9539,206.3938
0.5,2,1e-05,1000000,1e-05,1e-05,1000000,1e-05,105.1871324,12.18074925,111.743103,174.4875462,2.813638363,176.5177325
0.5,3,1000000,1e-05,1e-05,1000000,1e-05,1e-05,13.38949417,113.4111126,104.1924645,2.476002273,179.8554574,178.0671238
0.5,4,1e-05,1e-05,1000000,1e-05,1e-05,1000000,128.632364,119.7208091,12.71892701,179.8455611,177.9759551,2.496869256
0.5,5,1000000,1000000,1000000,1000000,1000000,1000000,12.66906582,12.77409276,12.71562594,2.492692686,2.813632249,2.493652191
0.55,1,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,136.7538,124.4372,116.6204,189.9507,196.1744,194.7955
0.55,2,1e-05,1000000,1e-05,1e-05,1000000,1e-05,101.3253625,12.30666984,108.1141737,164.4715948,2.813625554,166.5455998
0.55,3,1000000,1e-05,1e-05,1000000,1e-05,1e-05,13.23051452,109.5707738,100.5818678,2.476390922,169.7300235,167.9033673
0.55,4,1e-05,1e-05,1000000,1e-05,1e-05,1000000,121.4584233,112.7599327,12.71887689,169.7146034,167.8035507,2.496619115
0.55,5,1000000,1000000,1000000,1000000,1000000,1000000,12.66899191,12.7740252,12.71559252,2.492685928,2.813623935,2.493644056
0.6,1,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,128.9143,119.6587,113.565,179.5262,185.5644,184.3483
0.6,2,1e-05,1000000,1e-05,1e-05,1000000,1e-05,97.72184621,12.42700464,104.7289241,155.4663838,2.81361426,157.5786641
0.6,3,1000000,1e-05,1e-05,1000000,1e-05,1e-05,13.08380248,105.9874069,97.2139447,2.476921924,160.6137195,158.753665
0.6,4,1e-05,1e-05,1000000,1e-05,1e-05,1000000,115.0068494,106.5030952,12.7188267,160.5924816,158.6452812,2.496240643
0.6,5,1000000,1000000,1000000,1000000,1000000,1000000,12.66891826,12.77395803,12.71555909,2.492681955,2.81361659,2.493634927
0.65,1,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,121.8651,115.2532,110.6606,170.1222,175.9716,174.9009
0.65,2,1e-05,1000000,1e-05,1e-05,1000000,1e-05,94.35150079,12.54201824,101.5636912,147.3361442,2.813604493,149.4821057
0.65,3,1000000,1e-05,1e-05,1000000,1e-05,1e-05,12.9480865,102.6360594,94.06513091,2.4775754,152.3741757,150.4847965
0.65,4,1e-05,1e-05,1000000,1e-05,1e-05,1000000,109.1810957,100.8558208,12.71877653,152.3468754,150.3679182,2.495754107
0.65,5,1000000,1000000,1000000,1000000,1000000,1000000,12.66884486,12.77389126,12.71552566,2.492680747,2.813610187,2.493624783
0.7,1,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,115.4998,111.1788,107.8965,161.6045,167.2663,166.325
0.7,2,1e-05,1000000,1e-05,1e-05,1000000,1e-05,91.19239117,12.65198246,98.59777719,139.9663833,2.813596137,142.1421881
0.7,3,1000000,1e-05,1e-05,1000000,1e-05,1e-05,12.82225956,99.49490777,91.11481999,2.478334732,144.8989047,142.9835974
0.7,4,1e-05,1e-05,1000000,1e-05,1e-05,1000000,103.8996435,95.7384255,12.71872649,144.8653348,142.8582883,2.495176316
0.7,5,1000000,1000000,1000000,1000000,1000000,1000000,12.66877173,12.77382486,12.71549226,2.492682288,2.813604699,2.493613605
0.75,1,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,109.7289,107.3992,105.2631,153.8598,159.3378,158.5117
0.75,2,1e-05,1000000,1e-05,1e-05,1000000,1e-05,88.22524894,12.75717452,95.81300574,133.2603739,2.813589258,135.4627914
0.75,3,1000000,1e-05,1e-05,1000000,1e-05,1e-05,12.70535645,96.54478193,88.34490982,2.479186253,138.0922873,136.1539046
0.75,4,1e-05,1e-05,1000000,1e-05,1e-05,1000000,99.09355021,91.08357942,12.71867632,138.0522709,136.0202214,2.494521254
0.75,5,1000000,1000000,1000000,1000000,1000000,1000000,12.66869886,12.77375887,12.71545885,2.492686565,2.813600109,2.493601378
0.8,1,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,104.4771,103.883,102.7514,146.7921,152.0921,151.3684
0.8,2,1e-05,1000000,1e-05,1e-05,1000000,1e-05,85.43308102,12.85786093,93.19334174,127.1361624,2.813583705,129.3624535
0.8,3,1000000,1e-05,1e-05,1000000,1e-05,1e-05,12.59653128,93.76877424,85.73943465,2.480118402,131.8729128,129.9138675
0.8,4,1e-05,1e-05,1000000,1e-05,1e-05,1000000,94.7043491,86.83422661,12.71862622,131.8262983,129.7718614,2.493800543
0.8,5,1000000,1000000,1000000,1000000,1000000,1000000,12.66862624,12.77369328,12.71542546,2.492693569,2.813596399,2.493588093
0.85,1,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,99.68045,100.603,100.3534,140.3197,145.4486,144.8159
0.85,2,1e-05,1000000,1e-05,1e-05,1000000,1e-05,82.80084039,12.95430153,90.72458974,121.5240693,2.813579625,123.7718967
0.85,3,1000000,1e-05,1e-05,1000000,1e-05,1e-05,12.49503825,91.15191513,83.28425969,2.481121793,126.1712826,124.1936283
0.85,4,1e-05,1e-05,1000000,1e-05,1e-05,1000000,90.68228742,82.94184702,12.71857622,126.1179377,124.043345,2.493023919
0.85,5,1000000,1000000,1000000,1000000,1000000,1000000,12.66855387,12.77362808,12.71539206,2.49270329,2.813593561,2.49357374
