Length_km,I_ABC_A,I_AC_A,I_BC_A,I_AB_A
20,183.658058030754,98.4731179645814,98.4822297884365,116.132127656485
40,120.471872581111,68.992223169631,69.0019949791041,83.1419546387581
60,88.9068968833621,53.0956083284354,53.1057357186583,64.6418859350015
80,70.2931711621484,43.1523038584754,43.1626534280452,52.8440109935923
100,58.078560303552,36.3454805388796,36.3559820071008,44.6756194883726
120,49.4639504716795,31.3932726850855,31.4038844951322,38.6889093615409
180,34.2113574483212,22.2836649341961,22.2944789966155,27.5866409591364
240,26.1415464480765,17.2712081608161,17.2821326721017,21.4318360232463
