tipoCurto,IA_Sim,IB_Sim,IC_Sim,IA_Calc,IB_Calc,IC_Calc
1,87.5174,91.9579,93.7708,88.0262,91.8188,94.0109
2,75.7371,13.2206,84.1043,80.1919,0.012206,80.1997
3,12.2283,84.1302,76.7016,0.0117019,80.1993,80.1923
4,80.4232,73.021,12.7184,76.6856,76.6785,0.01195
5,12.6683,12.7734,12.7153,0.00796687,0.00796687,0.00796691
